,Animal 1,Animal 1,Animal 1,Animal 1,Animal 1,Animal 1,Animal 1,Animal 1,Animal 1,Animal 1,Animal 1,Animal 1,Animal 1,Animal 1,Animal 1,Animal 1,Animal 1,Animal 1,Animal 1,Animal 1,Animal 1,Animal 1,Animal 1,Animal 1,Animal 1,Animal 2,Animal 2,Animal 2,Animal 2,Animal 2,Animal 2,Animal 2,Animal 2,Animal 2,Animal 2,Animal 2,Animal 2,Animal 2,Animal 2,Animal 2,Animal 2,Animal 2,Animal 2,Animal 2,Animal 2,Animal 2,Animal 2,Animal 2,Animal 2,Animal 2,Animal 3,Animal 3,Animal 3,Animal 3,Animal 3,Animal 3,Animal 3,Animal 3,Animal 3,Animal 3,Animal 3,Animal 3,Animal 3,Animal 3,Animal 3,Animal 3,Animal 3,Animal 3,Animal 3,Animal 3,Animal 3,Animal 3,Animal 3,Animal 3,Animal 3,Animal 4,Animal 4,Animal 4,Animal 4,Animal 4,Animal 4,Animal 4,Animal 4,Animal 4,Animal 4,Animal 4,Animal 4,Animal 4,Animal 4,Animal 4,Animal 4,Animal 4,Animal 4,Animal 4,Animal 4,Animal 4,Animal 4,Animal 4,Animal 4,Animal 4,Animal 5,Animal 5,Animal 5,Animal 5,Animal 5,Animal 5,Animal 5,Animal 5,Animal 5,Animal 5,Animal 5,Animal 5,Animal 5,Animal 5,Animal 5,Animal 5,Animal 5,Animal 5,Animal 5,Animal 5,Animal 5,Animal 5,Animal 5,Animal 5,Animal 5,Animal 6,Animal 6,Animal 6,Animal 6,Animal 6,Animal 6,Animal 6,Animal 6,Animal 6,Animal 6,Animal 6,Animal 6,Animal 6,Animal 6,Animal 6,Animal 6,Animal 6,Animal 6,Animal 6,Animal 6,Animal 6,Animal 6,Animal 6,Animal 6,Animal 6,Animal 7,Animal 7,Animal 7,Animal 7,Animal 7,Animal 7,Animal 7,Animal 7,Animal 7,Animal 7,Animal 7,Animal 7,Animal 7,Animal 7,Animal 7,Animal 7,Animal 7,Animal 7,Animal 7,Animal 7,Animal 7,Animal 7,Animal 7,Animal 7,Animal 7,Animal 8,Animal 8,Animal 8,Animal 8,Animal 8,Animal 8,Animal 8,Animal 8,Animal 8,Animal 8,Animal 8,Animal 8,Animal 8,Animal 8,Animal 8,Animal 8,Animal 8,Animal 8,Animal 8,Animal 8,Animal 8,Animal 8,Animal 8,Animal 8,Animal 8,Animal 9,Animal 9,Animal 9,Animal 9,Animal 9,Animal 9,Animal 9,Animal 9,Animal 9,Animal 9,Animal 9,Animal 9,Animal 9,Animal 9,Animal 9,Animal 9,Animal 9,Animal 9,Animal 9,Animal 9,Animal 9,Animal 9,Animal 9,Animal 9,Animal 9,Animal 10,Animal 10,Animal 10,Animal 10,Animal 10,Animal 10,Animal 10,Animal 10,Animal 10,Animal 10,Animal 10,Animal 10,Animal 10,Animal 10,Animal 10,Animal 10,Animal 10,Animal 10,Animal 10,Animal 10,Animal 10,Animal 10,Animal 10,Animal 10,Animal 10,Animal 11,Animal 11,Animal 11,Animal 11,Animal 11,Animal 11,Animal 11,Animal 11,Animal 11,Animal 11,Animal 11,Animal 11,Animal 11,Animal 11,Animal 11,Animal 11,Animal 11,Animal 11,Animal 11,Animal 11,Animal 11,Animal 11,Animal 11,Animal 11,Animal 11,Animal 12,Animal 12,Animal 12,Animal 12,Animal 12,Animal 12,Animal 12,Animal 12,Animal 12,Animal 12,Animal 12,Animal 12,Animal 12,Animal 12,Animal 12,Animal 12,Animal 12,Animal 12,Animal 12,Animal 12,Animal 12,Animal 12,Animal 12,Animal 12,Animal 12,Animal 13,Animal 13,Animal 13,Animal 13,Animal 13,Animal 13,Animal 13,Animal 13,Animal 13,Animal 13,Animal 13,Animal 13,Animal 13,Animal 13,Animal 13,Animal 13,Animal 13,Animal 13,Animal 13,Animal 13,Animal 13,Animal 13,Animal 13,Animal 13,Animal 13,Animal 14,Animal 14,Animal 14,Animal 14,Animal 14,Animal 14,Animal 14,Animal 14,Animal 14,Animal 14,Animal 14,Animal 14,Animal 14,Animal 14,Animal 14,Animal 14,Animal 14,Animal 14,Animal 14,Animal 14,Animal 14,Animal 14,Animal 14,Animal 14,Animal 14,Animal 15,Animal 15,Animal 15,Animal 15,Animal 15,Animal 15,Animal 15,Animal 15,Animal 15,Animal 15,Animal 15,Animal 15,Animal 15,Animal 15,Animal 15,Animal 15,Animal 15,Animal 15,Animal 15,Animal 15,Animal 15,Animal 15,Animal 15,Animal 15,Animal 15,Animal 16,Animal 16,Animal 16,Animal 16,Animal 16,Animal 16,Animal 16,Animal 16,Animal 16,Animal 16,Animal 16,Animal 16,Animal 16,Animal 16,Animal 16,Animal 16,Animal 16,Animal 16,Animal 16,Animal 16,Animal 16,Animal 16,Animal 16,Animal 16,Animal 16,Animal 17,Animal 17,Animal 17,Animal 17,Animal 17,Animal 17,Animal 17,Animal 17,Animal 17,Animal 17,Animal 17,Animal 17,Animal 17,Animal 17,Animal 17,Animal 17,Animal 17,Animal 17,Animal 17,Animal 17,Animal 17,Animal 17,Animal 17,Animal 17,Animal 17,Animal 18,Animal 18,Animal 18,Animal 18,Animal 18,Animal 18,Animal 18,Animal 18,Animal 18,Animal 18,Animal 18,Animal 18,Animal 18,Animal 18,Animal 18,Animal 18,Animal 18,Animal 18,Animal 18,Animal 18,Animal 18,Animal 18,Animal 18,Animal 18,Animal 18,Animal 19,Animal 19,Animal 19,Animal 19,Animal 19,Animal 19,Animal 19,Animal 19,Animal 19,Animal 19,Animal 19,Animal 19,Animal 19,Animal 19,Animal 19,Animal 19,Animal 19,Animal 19,Animal 19,Animal 19,Animal 19,Animal 19,Animal 19,Animal 19,Animal 19,Animal 20,Animal 20,Animal 20,Animal 20,Animal 20,Animal 20,Animal 20,Animal 20,Animal 20,Animal 20,Animal 20,Animal 20,Animal 20,Animal 20,Animal 20,Animal 20,Animal 20,Animal 20,Animal 20,Animal 20,Animal 20,Animal 20,Animal 20,Animal 20,Animal 20
0,1,2,3,4,5,6,7,8,9,10,11,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,1,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,1,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,2,2,2,2,1,2,2,2,1,2,2,2,2,2,,,,,,,,,,,,1,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,,,,,,,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,,,,,,,,,,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,1,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,2,2,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,
0.310742,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,4,2,2,2,4,2,2,2,2,2,2,2,2,,,,,,,,,,,,,2,2,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,3,2,2,2,2,4,2,2,2,,,,,,,,,,,,,,,,,1,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,1,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,2,2,2,2,1,2,2,2,1,2,2,2,2,2,,,,,,,,,,,,1,2,2,2,2,2,1,2,3,2,2,1,2,2,2,2,2,4,2,,,,,,,2,2,2,2,2,2,2,2,3,2,4,4,2,2,2,2,2,2,2,2,2,2,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,,,,,,,,,,2,2,2,2,2,2,4,2,1,2,2,3,2,2,2,2,2,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,1,2,,,,,,,2,2,2,2,2,2,2,2,2,2,1,2,2,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,,,,,,,1,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,2,2,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,
0.621485,2,2,2,2,2,2,2,2,2,1,2,,,,,,,,,,,,,,,2,2,2,3,3,2,2,2,2,2,2,2,2,,,,,,,,,,,,,2,2,2,1,2,2,2,2,3,2,2,2,2,2,2,2,2,,,,,,,,,4,2,2,4,2,2,2,2,2,,,,,,,,,,,,,,,,,1,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,2,4,2,2,2,2,2,2,2,2,2,3,,,,,,,,,,,,,,2,2,3,2,2,2,2,2,2,,,,,,,,,,,,,,,,,2,2,1,2,3,1,2,2,3,2,2,2,2,4,2,2,,,,,,,,,,2,2,2,2,3,2,2,2,1,2,2,2,2,2,,,,,,,,,,,,1,2,2,4,3,2,3,2,3,2,2,1,2,2,2,2,2,4,2,,,,,,,2,2,2,2,2,2,2,2,3,2,2,4,2,2,2,2,2,2,2,2,3,3,,,,2,1,2,2,3,4,1,2,2,2,4,2,3,2,,,,,,,,,,,,2,2,2,2,3,2,3,2,2,2,3,2,2,2,2,1,,,,,,,,,,2,2,4,2,2,2,2,2,1,2,2,3,2,2,2,2,2,,,,,,,,,2,2,2,2,3,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,2,1,2,2,3,2,1,2,2,2,2,2,2,2,2,2,2,1,2,,,,,,,2,2,2,2,2,2,2,2,2,2,0,2,2,,,,,,,,,,,,,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,,,,,,,1,2,2,2,2,2,2,2,3,,,,,,,,,,,,,,,,,2,2,1,2,2,2,2,4,2,2,2,2,3,1,2,2,2,4,2,2,2,2,2,1,
0.932227,2,2,2,2,2,2,2,2,2,0,2,,,,,,,,,,,,,,,4,2,2,3,3,2,4,2,2,2,1,2,2,,,,,,,,,,,,,2,3,2,0,2,2,2,2,3,2,2,2,2,2,1,2,3,,,,,,,,,4,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,3,4,2,2,2,2,2,2,2,1,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,3,,,,,,,,,,,,,,2,4,2,3,2,2,2,2,2,,,,,,,,,,,,,,,,,2,2,3,2,3,1,2,2,3,2,2,2,2,4,2,2,,,,,,,,,,2,3,2,2,3,2,4,2,3,2,2,2,2,2,,,,,,,,,,,,3,2,2,2,3,2,3,2,2,3,3,3,2,4,3,2,2,4,2,,,,,,,2,2,2,2,2,2,3,2,3,2,2,2,2,2,2,3,2,2,2,2,3,3,,,,2,3,2,2,3,2,3,2,2,2,4,2,3,2,,,,,,,,,,,,2,2,2,2,3,3,3,1,2,2,3,2,3,2,3,3,,,,,,,,,,2,2,4,2,2,2,2,2,3,2,2,3,2,2,2,2,2,,,,,,,,,2,2,2,2,3,2,3,2,2,2,2,4,2,2,,,,,,,,,,,,2,1,2,2,3,2,3,2,2,2,3,2,2,2,2,2,2,1,2,,,,,,,2,3,2,2,2,2,3,2,2,2,0,4,2,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,,,,,,,,3,2,4,2,2,2,2,2,3,,,,,,,,,,,,,,,,,2,2,3,2,2,4,2,2,2,2,2,3,3,3,2,2,2,4,3,2,4,2,2,3,
1.242969,2,2,2,2,2,2,2,2,2,2,3,,,,,,,,,,,,,,,2,2,2,3,3,2,6,2,1,2,1,2,2,,,,,,,,,,,,,3,3,2,0,3,2,2,2,3,2,2,2,2,2,1,2,3,,,,,,,,,4,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,3,4,2,2,2,2,2,2,2,1,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,3,,,,,,,,,,,,,,2,4,2,3,2,2,3,3,2,,,,,,,,,,,,,,,,,2,2,3,2,3,3,2,2,3,2,2,2,2,4,2,2,,,,,,,,,,3,3,2,2,3,2,4,2,3,3,2,2,2,2,,,,,,,,,,,,3,2,2,2,3,3,3,2,2,3,3,3,2,2,3,2,2,4,2,,,,,,,2,3,2,2,2,2,3,2,2,2,3,2,3,2,2,3,2,3,2,2,3,3,,,,2,3,2,2,3,2,3,2,2,2,4,2,3,2,,,,,,,,,,,,2,2,2,2,4,3,3,1,2,2,3,2,3,3,3,3,,,,,,,,,,3,3,4,2,2,2,2,2,3,2,2,3,2,2,2,3,1,,,,,,,,,2,3,2,2,3,2,3,3,2,2,2,4,2,2,,,,,,,,,,,,3,2,2,2,2,2,3,2,2,2,3,3,2,2,2,2,3,3,3,,,,,,,2,3,2,2,3,2,3,2,3,2,2,4,2,,,,,,,,,,,,,2,2,2,2,2,2,3,2,2,2,3,2,2,2,3,2,2,3,,,,,,,,4,3,4,2,2,2,2,3,3,,,,,,,,,,,,,,,,,2,2,3,2,2,4,2,3,4,2,3,3,3,3,2,2,2,2,3,2,2,3,2,3,
1.553712,2,2,3,2,2,2,3,3,2,2,3,,,,,,,,,,,,,,,2,2,2,3,3,1,6,2,3,2,1,2,2,,,,,,,,,,,,,3,3,2,3,3,2,1,2,3,2,2,2,2,2,3,3,2,,,,,,,,,4,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,3,2,2,2,2,2,2,2,4,3,,,,,,,,,,,,,,,,2,2,2,2,2,3,3,2,2,2,2,3,,,,,,,,,,,,,,2,4,4,3,3,2,3,3,2,,,,,,,,,,,,,,,,,2,2,3,3,2,3,2,2,3,2,2,2,2,4,2,2,,,,,,,,,,3,3,2,2,3,2,5,2,3,3,2,1,2,2,,,,,,,,,,,,3,2,3,2,3,3,3,2,2,3,4,3,2,2,3,2,2,4,2,,,,,,,2,3,2,2,2,2,3,2,2,3,3,1,3,2,2,2,2,3,2,2,3,3,,,,2,3,2,2,3,3,3,2,3,3,4,2,3,2,,,,,,,,,,,,2,2,2,2,4,4,3,3,2,2,3,2,3,3,4,4,,,,,,,,,,3,3,4,2,2,2,2,2,3,2,3,3,2,2,2,3,3,,,,,,,,,2,3,3,2,3,2,3,3,2,2,2,5,2,2,,,,,,,,,,,,3,2,2,2,2,2,3,2,2,2,3,3,2,2,2,3,3,3,3,,,,,,,2,3,2,2,3,2,3,2,3,3,2,2,3,,,,,,,,,,,,,2,2,4,2,3,2,3,2,2,2,3,2,2,2,3,2,3,3,,,,,,,,4,3,4,2,2,2,2,3,3,,,,,,,,,,,,,,,,,2,2,3,2,2,4,3,3,3,2,3,3,3,3,2,3,2,2,3,2,2,3,2,3,
1.864454,2,3,3,2,2,2,3,3,3,2,3,,,,,,,,,,,,,,,2,2,3,3,3,3,4,2,3,2,3,2,2,,,,,,,,,,,,,3,3,2,3,2,2,1,2,3,2,2,2,2,2,3,3,2,,,,,,,,,4,3,2,2,2,2,2,2,3,,,,,,,,,,,,,,,,,3,2,2,2,2,2,2,2,2,3,,,,,,,,,,,,,,,,2,2,2,2,2,4,3,2,2,3,2,3,,,,,,,,,,,,,,2,4,4,3,3,2,3,3,2,,,,,,,,,,,,,,,,,2,2,3,3,4,3,2,2,4,2,2,2,2,4,2,2,,,,,,,,,,3,3,2,2,3,2,3,2,3,3,2,3,2,2,,,,,,,,,,,,3,2,3,2,3,3,3,2,2,3,4,3,3,2,3,2,2,2,2,,,,,,,3,3,2,2,2,2,3,2,2,3,3,3,3,3,2,2,2,3,3,2,3,3,,,,2,3,2,2,3,3,3,2,4,3,4,3,3,2,,,,,,,,,,,,2,2,2,2,4,4,3,3,2,2,3,2,3,3,4,4,,,,,,,,,,3,3,4,2,2,3,3,2,3,3,3,3,2,2,2,3,3,,,,,,,,,2,3,3,2,3,2,3,3,2,2,2,5,2,2,,,,,,,,,,,,3,2,2,2,2,2,3,2,2,2,3,3,2,2,1,3,3,4,3,,,,,,,2,3,2,2,3,2,2,3,3,3,2,2,3,,,,,,,,,,,,,2,2,3,3,3,2,3,2,2,2,3,2,2,2,3,2,2,3,,,,,,,,4,3,4,3,2,2,2,3,3,,,,,,,,,,,,,,,,,2,2,3,2,2,4,3,3,3,2,3,4,3,3,2,3,3,2,3,2,2,3,2,3,
2.175197,3,3,3,2,2,2,3,3,3,2,3,,,,,,,,,,,,,,,2,2,3,3,3,3,4,2,3,2,3,2,2,,,,,,,,,,,,,3,3,2,3,2,2,3,2,3,2,2,3,2,2,3,3,2,,,,,,,,,4,3,2,2,2,2,2,2,3,,,,,,,,,,,,,,,,,3,2,2,2,2,2,2,2,2,3,,,,,,,,,,,,,,,,3,2,2,4,2,4,3,2,4,3,2,3,,,,,,,,,,,,,,3,4,4,3,3,2,3,3,2,,,,,,,,,,,,,,,,,2,2,2,3,4,4,1,2,4,2,2,2,2,4,2,2,,,,,,,,,,3,3,3,3,3,2,4,2,3,3,3,3,2,2,,,,,,,,,,,,4,2,3,2,2,3,3,3,2,3,5,3,3,2,3,2,3,2,2,,,,,,,3,4,3,2,2,2,3,1,2,3,3,3,4,3,2,2,2,3,3,2,3,3,,,,2,3,2,2,3,3,3,5,4,3,6,3,3,2,,,,,,,,,,,,2,2,2,2,4,4,4,3,2,2,3,2,3,3,4,4,,,,,,,,,,3,3,4,4,2,3,3,2,3,3,3,4,2,2,2,3,3,,,,,,,,,2,3,3,2,3,3,4,3,1,2,2,3,2,2,,,,,,,,,,,,3,2,3,2,2,2,2,2,2,2,3,3,2,2,3,3,3,4,3,,,,,,,2,3,3,3,3,2,2,3,3,3,2,2,3,,,,,,,,,,,,,2,2,3,3,3,2,3,2,2,2,3,3,2,2,3,4,4,3,,,,,,,,4,5,4,2,2,2,2,3,3,,,,,,,,,,,,,,,,,2,2,3,3,2,4,3,3,3,4,3,4,3,3,3,3,3,4,3,3,2,3,2,3,
2.485939,3,3,3,2,2,2,3,3,3,4,3,,,,,,,,,,,,,,,2,3,3,5,3,3,4,2,3,2,4,2,2,,,,,,,,,,,,,3,3,2,7,2,2,3,2,3,2,3,3,2,3,3,3,2,,,,,,,,,4,3,2,3,2,2,2,3,3,,,,,,,,,,,,,,,,,3,2,4,2,2,2,2,2,2,3,,,,,,,,,,,,,,,,3,3,3,4,2,5,3,2,4,3,2,3,,,,,,,,,,,,,,3,2,4,3,3,4,3,3,2,,,,,,,,,,,,,,,,,2,2,2,3,4,4,3,2,4,2,2,2,2,3,2,2,,,,,,,,,,3,3,3,3,3,2,4,2,3,3,3,3,2,3,,,,,,,,,,,,4,2,3,2,2,3,3,3,2,3,5,3,3,2,3,2,3,2,2,,,,,,,3,4,3,2,3,2,3,1,3,3,3,3,4,3,3,2,3,2,3,2,3,3,,,,2,3,2,2,3,3,3,4,5,3,4,3,4,2,,,,,,,,,,,,2,2,3,2,4,4,4,3,2,2,3,2,3,4,4,4,,,,,,,,,,3,3,4,2,2,4,4,2,3,3,3,4,2,2,3,3,5,,,,,,,,,2,3,4,2,3,3,4,3,1,2,2,3,2,2,,,,,,,,,,,,3,2,3,2,2,2,4,2,2,2,3,3,2,2,3,3,3,4,3,,,,,,,2,3,3,3,3,2,2,3,3,3,1,2,3,,,,,,,,,,,,,2,2,3,3,4,2,3,2,2,2,3,3,2,2,3,4,4,3,,,,,,,,4,3,4,2,2,2,2,4,3,,,,,,,,,,,,,,,,,2,2,3,3,2,4,3,3,3,4,3,4,3,3,3,3,3,3,3,3,2,3,2,3,
2.796681,3,3,3,2,2,3,3,3,3,2,3,,,,,,,,,,,,,,,2,3,3,5,3,3,3,2,3,2,4,2,2,,,,,,,,,,,,,3,3,3,4,2,2,3,2,3,2,3,3,2,3,3,3,2,,,,,,,,,4,3,2,3,2,3,2,3,3,,,,,,,,,,,,,,,,,3,2,4,2,3,2,2,3,2,3,,,,,,,,,,,,,,,,3,3,3,4,3,5,3,3,4,3,2,3,,,,,,,,,,,,,,3,2,5,3,3,4,3,3,2,,,,,,,,,,,,,,,,,2,2,3,3,3,4,3,2,4,2,4,2,4,3,5,2,,,,,,,,,,3,3,3,3,3,2,4,2,3,3,3,3,2,3,,,,,,,,,,,,4,2,3,2,1,3,3,3,2,3,5,3,3,2,3,2,3,2,2,,,,,,,3,4,4,2,3,2,4,3,2,3,3,4,5,3,3,2,3,2,4,2,3,3,,,,2,3,2,2,3,3,3,4,5,4,4,3,4,2,,,,,,,,,,,,2,2,3,2,4,4,4,4,2,4,3,2,4,6,4,4,,,,,,,,,,3,3,5,2,2,4,4,3,3,3,3,4,2,3,3,2,4,,,,,,,,,2,3,4,2,3,3,4,4,3,2,2,3,2,2,,,,,,,,,,,,3,4,3,2,2,2,4,2,2,3,3,5,2,2,3,4,3,3,4,,,,,,,2,3,2,3,3,2,2,3,3,4,1,2,3,,,,,,,,,,,,,2,2,3,3,4,2,3,2,3,2,3,4,2,3,3,4,4,3,,,,,,,,4,3,4,2,2,2,2,4,3,,,,,,,,,,,,,,,,,2,2,4,3,2,4,3,3,4,4,3,4,3,3,3,3,3,3,4,3,2,3,2,3,
